time,pos,veh_id,type,speed
7.0,199.06,mainlane_0_cav.0,CAV,27.78
8.0,226.84,mainlane_0_cav.0,CAV,27.78
9.0,254.62,mainlane_0_cav.0,CAV,27.78
10.0,282.4,mainlane_0_cav.0,CAV,27.78
11.0,310.18,mainlane_0_cav.0,CAV,27.78
12.0,337.96,mainlane_0_cav.0,CAV,27.78
13.0,365.74,mainlane_0_cav.0,CAV,27.78
14.0,393.52,mainlane_0_cav.0,CAV,27.78
15.0,420.0,mainlane_0_cav.0,CAV,27.78
16.0,446.22,mainlane_0_cav.0,CAV,27.78
17.0,472.44,mainlane_0_cav.0,CAV,27.78
18.0,498.66,mainlane_0_cav.0,CAV,27.78
19.0,524.88,mainlane_0_cav.0,CAV,27.78
20.0,551.1,mainlane_0_cav.0,CAV,27.78
21.0,577.31,mainlane_0_cav.0,CAV,27.78
22.0,603.53,mainlane_0_cav.0,CAV,27.78
23.0,629.75,mainlane_0_cav.0,CAV,27.78
24.0,655.97,mainlane_0_cav.0,CAV,27.78
25.0,682.19,mainlane_0_cav.0,CAV,27.78
26.0,708.4,mainlane_0_cav.0,CAV,27.78
27.0,734.62,mainlane_0_cav.0,CAV,27.78
28.0,760.84,mainlane_0_cav.0,CAV,27.78
29.1,790.4,mainlane_0_cav.0,CAV,27.78
30.1,818.18,mainlane_0_cav.0,CAV,27.78
31.1,845.96,mainlane_0_cav.0,CAV,27.78
32.1,873.74,mainlane_0_cav.0,CAV,27.78
33.1,901.52,mainlane_0_cav.0,CAV,27.78
34.1,929.3,mainlane_0_cav.0,CAV,27.78
35.1,957.08,mainlane_0_cav.0,CAV,27.78
36.1,984.86,mainlane_0_cav.0,CAV,27.78
37.1,1012.64,mainlane_0_cav.0,CAV,27.78
38.1,1040.42,mainlane_0_cav.0,CAV,27.78
39.1,1068.2,mainlane_0_cav.0,CAV,27.78
40.1,1095.98,mainlane_0_cav.0,CAV,27.78
41.3,1128.81,mainlane_0_cav.0,CAV,27.78
42.3,1156.04,mainlane_0_cav.0,CAV,27.78
43.3,1183.26,mainlane_0_cav.0,CAV,27.78
44.3,1210.49,mainlane_0_cav.0,CAV,27.78
45.3,1237.71,mainlane_0_cav.0,CAV,27.78
46.3,1264.94,mainlane_0_cav.0,CAV,27.78
47.3,1292.16,mainlane_0_cav.0,CAV,27.78
8.5,194.8,mainlane_0_cav.1,CAV,27.78
9.5,222.58,mainlane_0_cav.1,CAV,27.78
10.5,250.36,mainlane_0_cav.1,CAV,27.78
11.5,278.14,mainlane_0_cav.1,CAV,27.78
12.5,305.92,mainlane_0_cav.1,CAV,27.78
13.5,333.7,mainlane_0_cav.1,CAV,27.78
14.5,361.48,mainlane_0_cav.1,CAV,27.78
15.5,389.26,mainlane_0_cav.1,CAV,27.78
16.5,415.99,mainlane_0_cav.1,CAV,27.78
17.5,442.21,mainlane_0_cav.1,CAV,27.78
18.5,468.43,mainlane_0_cav.1,CAV,27.78
19.5,494.64,mainlane_0_cav.1,CAV,27.78
20.5,520.86,mainlane_0_cav.1,CAV,27.78
21.5,547.08,mainlane_0_cav.1,CAV,27.78
22.5,573.3,mainlane_0_cav.1,CAV,27.78
23.5,599.52,mainlane_0_cav.1,CAV,27.78
24.5,625.73,mainlane_0_cav.1,CAV,27.78
25.5,651.95,mainlane_0_cav.1,CAV,27.78
26.5,678.17,mainlane_0_cav.1,CAV,27.78
27.5,704.39,mainlane_0_cav.1,CAV,27.78
28.5,730.61,mainlane_0_cav.1,CAV,27.78
29.5,756.82,mainlane_0_cav.1,CAV,27.78
30.7,788.93,mainlane_0_cav.1,CAV,27.78
31.7,816.71,mainlane_0_cav.1,CAV,27.78
32.7,844.49,mainlane_0_cav.1,CAV,27.78
33.7,872.27,mainlane_0_cav.1,CAV,27.78
34.7,900.05,mainlane_0_cav.1,CAV,27.78
35.7,927.83,mainlane_0_cav.1,CAV,27.78
36.7,955.61,mainlane_0_cav.1,CAV,27.78
37.7,983.39,mainlane_0_cav.1,CAV,27.78
38.7,1011.17,mainlane_0_cav.1,CAV,27.78
39.7,1038.95,mainlane_0_cav.1,CAV,27.78
40.7,1066.73,mainlane_0_cav.1,CAV,27.78
41.7,1094.51,mainlane_0_cav.1,CAV,27.78
43.0,1130.09,mainlane_0_cav.1,CAV,27.78
44.0,1157.31,mainlane_0_cav.1,CAV,27.78
45.0,1184.54,mainlane_0_cav.1,CAV,27.78
46.0,1211.76,mainlane_0_cav.1,CAV,27.78
47.0,1238.99,mainlane_0_cav.1,CAV,27.78
